CSIsym,Contract,group,Date,timestamp,Anti-19,50/50,29,LowestEquity,24,25,26,27,20,21,22,23,RiskOff,28,Anti-18,2,4,6,8,Anti-33,30,11,10,13,12,15,14,17,16,19,18,Anti-Custom,RiskOn,AntiLowestEquity,Previous,Anti-1,Anti-3,Anti-2,Anti-5,Anti-4,Anti-7,Anti-6,Anti-9,Anti-8,Custom,AntiHighestEquity,Anti-Seasonality,1,3,5,7,9,Anti-32,Anti-31,Anti-30,Anti-36,Anti-35,Anti-34,Anti-15,Off,Anti-14,Anti-17,Anti50/50,HighestEquity,Anti-16,Anti-11,Anti-10,Anti-13,Seasonality,33,32,31,Anti-12,36,35,34,Anti-28,Anti-29,Anti-Previous,Anti-20,Anti-21,Anti-22,Anti-23,Anti-24,Anti-25,Anti-26,Anti-27
AD,@ADH8,currency,20180109,1515534366,0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1,-1,-1,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1,1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1,-1,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0,-1.0,-1.0,-1,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-1.0,1.0,1,1,1.0,-1.0,-1.0,-1.0
BP,@BPH8,currency,20180109,1515534366,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,-1.0,1.0,1,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
CD,@CDH8,currency,20180109,1515534366,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1,1,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,-1.0,1.0,1,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
CL,QCLG8,energy,20180109,1515534366,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0
CU,@EUH8,currency,20180109,1515534366,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,-1.0,1.0,1,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
EMD,@EMDH8,index,20180109,1515534366,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0,-1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
ES,@ESH8,index,20180109,1515534366,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0
FV,@FVH8,rates,20180109,1515534366,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-1,-1,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0,-1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,1.0,1.0,0,-1,1.0,0.0,-1.0,1.0
GC,QGCG8,metal,20180109,1515534366,1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,1,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0,-1.0,-1.0,1,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1.0,1.0,0,-1,1.0,0.0,-1.0,1.0
HG,QHGH8,metal,20180109,1515534366,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,0,1.0,1.0,1,-1.0,1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0
HO,QHOG8,energy,20180109,1515534366,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0
JY,@JYH8,currency,20180109,1515534366,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,0,-1,1,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,-1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1,1.0,1.0,0,1,-1.0,0.0,1.0,-1.0
MP,@PXH8,currency,20180109,1515534366,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1,-1,-1,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1,-1,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0,-1.0,-1.0,-1,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-1.0,1.0,1,1,1.0,-1.0,-1.0,-1.0
NE,@NEH8,currency,20180109,1515534366,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0,-1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
NG,QNGG8,energy,20180109,1515534366,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1,-1,0.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1,-1,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,-1.0,1.0,-1,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,1.0,-1.0,1,1,1.0,-1.0,-1.0,-1.0
NIY,@NKDH8,index,20180109,1515534366,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0,1,-1,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,-1,1,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0,-1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1,-1.0,-1.0,0,-1,1.0,0.0,-1.0,1.0
NQ,@NQH8,index,20180109,1515534366,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1,1,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,-1.0,1.0,1,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
PA,QPAH8,metal,20180109,1515534366,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,1.0,1,1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,-1,-1,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,-1.0,1.0,1,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,1.0,-1.0,1,1,1.0,-1.0,-1.0,-1.0
PL,QPLJ8,metal,20180109,1515534366,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,1,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0,-1.0,-1.0,-1,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1.0,1.0,0,-1,1.0,0.0,-1.0,1.0
RB,QRBG8,energy,20180109,1515534366,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0
SF,@SFH8,currency,20180109,1515534366,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,-1.0,1.0,1,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1,-1.0,-1.0,0,-1,1.0,-1.0,-1.0,-1.0
SI,QSIH8,metal,20180109,1515534366,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,1,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0,-1.0,-1.0,-1,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,1.0,1.0,0,-1,1.0,0.0,-1.0,1.0
TU,@TUH8,rates,20180109,1515534366,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1,-1,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1.0,1.0,0,-1,1.0,0.0,-1.0,1.0
TY,@TYH8,rates,20180109,1515534366,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1,-1,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1,1.0,1.0,0,-1,1.0,0.0,-1.0,1.0
US,@USH8,rates,20180109,1515534366,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1,-1.0,1,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1,1,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0,1.0,-1.0,-1,1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,-1.0,1.0,-1,-1,-1.0,0.0,-1.0,1.0
YM,@YMH8,index,20180109,1515534366,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0,1.0,1.0,-1,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,-1,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0
