2017-02-21 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-02-21 00:00:00,Close2017-02-21 00:00:00,group,RiskOn,Custom,SEA2017-02-21 00:00:00,SRUN2017-02-21 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-02-20 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-02-21 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-02-21 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-02-21 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,Date,timestamp
AC,@ACJ7,1.539,0.0294167105,-0.00581395348837,-1.0,1.0,1.0,-1.0,1.0,-8.0,2017-02-08,853.0846045,1.0,1.0,1.0,44631.0,1.0,-0.00581395348837,1.539,energy,1.0,1.0,1.0,-8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,0,-1,-1,1,-1,-1,-1,-1.0,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
AD,@ADH7,0.768,0.006075,0.00326583932071,1.0,1.0,-1.0,1.0,1.0,15.0,2017-01-30,607.5,1.0,1.0,1.0,76800.0,1.0,0.00326583932071,0.768,currency,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,20170221,1487728205
AEX,AEXH7,498.4,5.348872758,0.0058526740666,1.0,1.0,1.0,1.0,-1.0,-4.0,2017-02-15,1127.11446757,1.0,1.0,1.0,105022.848,0.949126803341,0.0058526740666,498.4,index,1.0,1.0,-1.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
BO,@BOK7,32.95,0.6158700605,-0.00633293124246,-1.0,1.0,1.0,-1.0,1.0,-8.0,2017-02-08,369.5220363,2.0,1.0,1.0,19770.0,1.0,-0.00633293124246,32.95,grain,1.0,1.0,1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,0,-1,-1,1,-1,-1,-1,-1.0,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
BP,@BPH7,1.2478,0.01082,0.00491261979544,1.0,1.0,-1.0,1.0,-1.0,-29.0,2017-01-09,676.25,1.0,1.0,1.0,77987.5,1.0,0.00491261979544,1.2478,currency,1.0,1.0,-1.0,-29.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
C,@CK7,376.5,5.253156312,0.00266311584554,1.0,-1.0,1.0,-1.0,1.0,38.0,2016-12-23,262.6578156,3.0,1.0,1.0,18825.0,1.0,0.00266311584554,376.5,grain,1.0,1.0,1.0,38.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
CC,@CCK7,1996.0,51.2020199495,-0.002,-1.0,-1.0,1.0,-1.0,-1.0,4.0,2017-02-14,512.020199495,1.0,1.0,1.0,19960.0,1.0,-0.002,1996.0,soft,1.0,1.0,-1.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
CD,@CDH7,0.76115,0.0049,-0.00275139207337,-1.0,-1.0,1.0,-1.0,1.0,15.0,2017-01-30,490.0,2.0,1.0,1.0,76115.0,1.0,-0.00275139207337,0.76115,currency,1.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
CGB,CBH7,138.02,0.584,-0.000941006152733,-1.0,1.0,-1.0,1.0,-1.0,8.0,2017-02-08,444.376807183,2.0,1.0,1.0,105022.066657,1.3142,-0.000941006152733,138.02,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
CL,QCLJ7,54.33,1.068519079,0.0102268501302,1.0,-1.0,-1.0,-1.0,1.0,26.0,2017-01-12,1068.519079,1.0,1.0,1.0,54330.0,1.0,0.0102268501302,54.33,energy,1.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
CT,@CTK7,75.66,1.018931536,0.00185381355932,1.0,-1.0,-1.0,-1.0,1.0,-12.0,2017-02-02,509.465768,1.0,1.0,1.0,37830.0,1.0,0.00185381355932,75.66,soft,1.0,1.0,1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
CU,@EUH7,1.0556,0.00794,-0.00551132884262,-1.0,1.0,1.0,1.0,-1.0,-4.0,2017-02-14,992.5,1.0,1.0,1.0,131950.0,1.0,-0.00551132884262,1.0556,currency,1.0,1.0,-1.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,-1,-1,-1,-1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,20170221,1487728205
DX,@DXH7,101.355,0.64115,0.00400194153599,1.0,1.0,-1.0,1.0,1.0,15.0,2017-01-31,641.15,1.0,1.0,1.0,101355.0,1.0,0.00400194153599,101.355,currency,-1.0,-1.0,1.0,15.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
EBL,BDH7,164.41,0.6505,-0.00103293231255,-1.0,1.0,-1.0,1.0,-1.0,-18.0,2017-01-26,685.3668,1.0,1.0,1.0,173222.376,0.949126803341,-0.00103293231255,164.41,rates,-1.0,1.0,-1.0,-18.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
EBM,BLH7,134.13,0.222,7.45600954368e-05,1.0,1.0,-1.0,1.0,-1.0,26.0,2017-01-26,233.8992,4.0,2.0,2.0,141319.368,0.949126803341,7.45600954368e-05,134.13,rates,-1.0,1.0,-1.0,26.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,20170221,1487728205
EBS,EZH7,112.545,0.05625,0.000177738280382,1.0,-1.0,-1.0,1.0,-1.0,21.0,2017-01-26,59.265,16.0,5.0,5.0,118577.412,0.949126803341,0.000177738280382,112.545,rates,-1.0,1.0,-1.0,21.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
ED,@EDZ7,98.425,0.0385,-0.000253936008126,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,2017-02-08,96.25,10.0,3.0,3.0,246062.5,1.0,-0.000253936008126,98.425,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,20170221,1487728205
EMD,@EMDH7,1748.4,16.965,0.00871170599435,1.0,-1.0,1.0,-1.0,1.0,17.0,2017-01-26,1696.5,1.0,1.0,1.0,174840.0,1.0,0.00871170599435,1748.4,index,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
ES,@ESH7,2360.0,15.15,0.00511073253833,1.0,1.0,-1.0,1.0,-1.0,-3.0,2017-01-26,757.5,1.0,1.0,1.0,118000.0,1.0,0.00511073253833,2360.0,index,1.0,1.0,-1.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
FC,@GFH7,124.55,2.0025,0.00382832963933,1.0,-1.0,1.0,-1.0,1.0,21.0,2017-01-20,1001.25,1.0,1.0,1.0,62275.0,1.0,0.00382832963933,124.55,meat,1.0,-1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
FCH,MTH7,4887.0,51.7634114585,0.00493522516965,1.0,-1.0,1.0,-1.0,-1.0,15.0,2017-01-31,545.379303127,1.0,1.0,1.0,51489.432,0.949126803341,0.00493522516965,4887.0,index,1.0,1.0,-1.0,15.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,20170221,1487728205
FDX,DXMH7,11960.0,115.125,0.0108608375946,1.0,1.0,-1.0,1.0,-1.0,20.0,2017-01-24,606.4785,1.0,1.0,1.0,63005.28,0.949126803341,0.0108608375946,11960.0,index,1.0,1.0,-1.0,20.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
FEI,IEM7,100.295,0.00825,0.0,1.0,-1.0,-1.0,-1.0,-1.0,21.0,2017-01-23,21.7305,46.0,12.0,12.0,264177.03,0.949126803341,0.0,100.295,rates,-1.0,1.0,-1.0,21.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,20170221,1487728205
FFI,LFH7,7243.0,51.45,-0.00302821748107,-1.0,1.0,-1.0,1.0,-1.0,14.0,2017-02-01,641.8902,1.0,1.0,1.0,90363.668,0.801538954793,-0.00302821748107,7243.0,index,1.0,1.0,-1.0,14.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,20170221,1487728205
FLG,LGH7,126.08,0.6405,-0.00174188440222,-1.0,1.0,-1.0,1.0,-1.0,-18.0,2017-01-26,799.0878,1.0,1.0,1.0,157297.408,0.801538954793,-0.00174188440222,126.08,rates,-1.0,1.0,-1.0,-18.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,1,-1,-1,-1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
FSS,LLM7,99.61,0.017,-0.000100381449508,-1.0,-1.0,1.0,-1.0,-1.0,38.0,2016-12-28,26.5115,37.0,10.0,10.0,155341.795,0.801538954793,-0.000100381449508,99.61,rates,-1.0,-1.0,-1.0,38.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,-1,1,-1.0,1,-1,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,20170221,1487728205
FV,@FVH7,117.90625,0.298828125,-0.000132502981317,-1.0,1.0,-1.0,1.0,-1.0,8.0,2017-02-08,298.828125,3.0,1.0,1.0,117906.25,1.0,-0.000132502981317,117.90625,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,0,1,-1,-1,-1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
GC,QGCJ7,1238.9,14.356465186,-0.000161407473166,-1.0,1.0,1.0,1.0,-1.0,-20.0,2017-01-23,1435.6465186,1.0,1.0,1.0,123890.0,1.0,-0.000161407473166,1238.9,metal,-1.0,1.0,-1.0,-20.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,1.0,0.0,-1.0,1,1,0.0,1,20170221,1487728205
HCM,HHIG7,10403.0,136.6,-0.00459286192709,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2017-02-13,880.018553832,1.0,1.0,1.0,67019.2753698,7.7612,-0.00459286192709,10403.0,index,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,0,-1,-1,-1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1,20170221,1487728205
HG,QHGK7,275.75,6.034220618,0.0137867647059,1.0,-1.0,1.0,-1.0,1.0,-11.0,2017-02-03,1508.5551545,1.0,1.0,1.0,68937.5,1.0,0.0137867647059,275.75,metal,1.0,1.0,1.0,-11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
HIC,HSIG7,23902.0,231.75,-0.00903814262023,-1.0,1.0,-1.0,1.0,-1.0,37.0,2016-12-23,1493.00365923,1.0,1.0,1.0,153983.920012,7.7612,-0.00903814262023,23902.0,index,1.0,1.0,-1.0,37.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0,20170221,1487728205
HO,QHOJ7,1.6528,0.0371404025,0.00376533462893,1.0,-1.0,1.0,-1.0,1.0,-26.0,2017-01-12,1559.896905,1.0,1.0,1.0,69417.6,1.0,0.00376533462893,1.6528,energy,1.0,1.0,1.0,-26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
JY,@JYH7,0.88095,0.00901,-0.00564365934872,-1.0,1.0,-1.0,1.0,1.0,10.0,2017-02-06,1126.25,1.0,1.0,1.0,110118.75,1.0,-0.00564365934872,0.88095,currency,-1.0,1.0,1.0,10.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,-1,-1,-1,1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1.0,-1,20170221,1487728205
KC,@KCK7,151.85,3.1191452845,0.0153794717486,1.0,-1.0,1.0,-1.0,-1.0,-9.0,2017-02-07,1169.67948169,1.0,1.0,1.0,56943.75,1.0,0.0153794717486,151.85,soft,1.0,1.0,-1.0,-9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,20170221,1487728205
KW,@KWK7,465.5,9.0943626135,-0.00799147575919,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,2017-01-31,454.718130675,2.0,1.0,1.0,23275.0,1.0,-0.00799147575919,465.5,grain,1.0,1.0,-1.0,14.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
LB,@LBK7,372.0,7.953299198,-0.00550509222007,-1.0,-1.0,-1.0,1.0,-1.0,19.0,2017-02-09,874.86291178,1.0,1.0,1.0,40920.0,1.0,-0.00550509222007,372.0,soft,1.0,-1.0,-1.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,1,-1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1.0,1,1,0.0,1,20170221,1487728205
LC,@LEJ7,115.3,1.595,0.00326299760713,1.0,-1.0,1.0,-1.0,1.0,-22.0,2017-01-19,638.0,1.0,1.0,1.0,46120.0,1.0,0.00326299760713,115.3,meat,1.0,-1.0,1.0,-22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,0.0,-1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
LCO,EBK7,56.76,1.089439911,0.0072759538598,1.0,1.0,1.0,1.0,1.0,24.0,2017-01-18,1089.439911,1.0,1.0,1.0,56760.0,1.0,0.0072759538598,56.76,energy,1.0,1.0,1.0,24.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,20170221,1487728205
