2017-02-21 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-02-21 00:00:00,Close2017-02-21 00:00:00,group,RiskOn,Custom,SEA2017-02-21 00:00:00,SRUN2017-02-21 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-02-20 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-02-21 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-02-21 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-02-21 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,Date,timestamp
LGO,GASH7,501.75,9.8125,0.00854271356784,1.0,-1.0,-1.0,1.0,1.0,23.0,2017-01-19,981.25,1.0,1.0,1.0,50175.0,1.0,0.00854271356784,501.75,energy,1.0,1.0,1.0,23.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0,-1,-1,-1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
LH,@HEJ7,70.35,1.68125,-0.00600494524903,-1.0,-1.0,-1.0,-1.0,1.0,32.0,2017-01-04,672.5,1.0,1.0,1.0,28140.0,1.0,-0.00600494524903,70.35,meat,1.0,-1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
LRC,LRCK7,2189.0,37.2274809155,0.00137236962489,1.0,-1.0,1.0,-1.0,-1.0,-23.0,2017-01-19,372.274809155,2.0,1.0,1.0,21890.0,1.0,0.00137236962489,2189.0,soft,1.0,1.0,-1.0,-23.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,20170221,1487728205
LSU,QWK7,560.6,8.404795539,0.0113656864514,1.0,1.0,1.0,1.0,-1.0,6.0,2017-02-13,420.23977695,2.0,1.0,1.0,28030.0,1.0,0.0113656864514,560.6,soft,1.0,1.0,-1.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
MEM,@MMEH7,951.0,8.25,0.0108418367347,1.0,1.0,-1.0,1.0,1.0,32.0,2017-01-06,412.5,2.0,1.0,1.0,47550.0,1.0,0.0108418367347,951.0,index,1.0,1.0,1.0,32.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,20170221,1487728205
MFX,IBH7,9551.5,116.466181687,0.00229810275353,1.0,-1.0,1.0,-1.0,-1.0,-44.0,2016-12-20,1227.08769025,1.0,1.0,1.0,100634.604,0.949126803341,0.00229810275353,9551.5,index,1.0,1.0,-1.0,-44.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,20170221,1487728205
MP,@PXH7,0.04989,0.0006745,0.0227552275523,1.0,1.0,-1.0,1.0,1.0,27.0,2017-01-11,337.25,2.0,1.0,1.0,24945.0,1.0,0.0227552275523,0.04989,currency,1.0,1.0,1.0,27.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,20170221,1487728205
MW,@MWK7,549.25,7.798105381,-0.00946798917944,-1.0,-1.0,1.0,-1.0,-1.0,5.0,2017-02-13,389.90526905,2.0,1.0,1.0,27462.5,1.0,-0.00946798917944,549.25,grain,1.0,1.0,-1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
NE,@NEH7,0.7162,0.006945,-0.0018118466899,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,2017-01-31,694.5,1.0,1.0,1.0,71620.0,1.0,-0.0018118466899,0.7162,currency,1.0,1.0,-1.0,14.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
NG,QNGJ7,2.691,0.1146571435,-0.0881057268722,-1.0,1.0,1.0,-1.0,1.0,-24.0,2017-01-17,1146.571435,1.0,1.0,1.0,26910.0,1.0,-0.0881057268722,2.691,energy,1.0,1.0,1.0,-24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,0,-1,-1,1,-1,-1,-1,-1.0,1,1,-1,1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,1,1.0,0,20170221,1487728205
NIY,@NKDH7,19445.0,274.75,0.0164662833246,1.0,1.0,1.0,-1.0,1.0,7.0,2017-02-09,1208.43596059,1.0,1.0,1.0,85525.1583392,113.68,0.0164662833246,19445.0,index,1.0,-1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,0,-1,1,1,-1,-1,-1,1.0,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1,1,1.0,0,20170221,1487728205
NQ,@NQH7,5343.75,36.4875,0.00337980566117,1.0,-1.0,-1.0,1.0,-1.0,-2.0,2017-02-06,729.75,1.0,1.0,1.0,106875.0,1.0,0.00337980566117,5343.75,index,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,20170221,1487728205
O,@OK7,250.75,6.550916422,-0.00199004975124,-1.0,1.0,-1.0,1.0,1.0,21.0,2017-01-30,327.5458211,3.0,1.0,1.0,12537.5,1.0,-0.00199004975124,250.75,grain,1.0,-1.0,1.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,1,-1,-1,1,-1,-1.0,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,20170221,1487728205
OJ,@OJH7,175.45,5.04,-0.0045390070922,-1.0,-1.0,1.0,-1.0,1.0,-10.0,2017-02-06,756.0,1.0,1.0,1.0,26317.5,1.0,-0.0045390070922,175.45,soft,1.0,1.0,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
PA,QPAH7,778.8,20.085,-0.000513347022587,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2017-02-14,2008.5,1.0,1.0,1.0,77880.0,1.0,-0.000513347022587,778.8,metal,1.0,1.0,-1.0,-4.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
PL,QPLJ7,1006.0,17.1,0.0,1.0,-1.0,-1.0,1.0,-1.0,35.0,2016-12-29,855.0,1.0,1.0,1.0,50300.0,1.0,0.0,1006.0,metal,-1.0,1.0,-1.0,35.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0,1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
RB,QRBJ7,1.7239,0.049711612,-0.0106175390266,-1.0,-1.0,-1.0,-1.0,1.0,9.0,2017-02-07,2087.887704,1.0,1.0,1.0,72403.8,1.0,-0.0106175390266,1.7239,energy,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
RR,@RRH7,9.43,0.13425,0.010176754151,1.0,-1.0,1.0,-1.0,-1.0,26.0,2017-01-12,268.5,3.0,1.0,1.0,18860.0,1.0,0.010176754151,9.43,grain,1.0,-1.0,-1.0,26.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,-1,1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,20170221,1487728205
RS,@RSK7,522.6,5.047362805,-0.00457142857143,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2017-02-10,76.8127043829,13.0,4.0,4.0,7953.12737787,1.3142,-0.00457142857143,522.6,grain,1.0,-1.0,1.0,-6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
S,@SK7,1037.25,14.93486842,-0.00575125808771,-1.0,-1.0,1.0,-1.0,1.0,23.0,2017-01-30,746.743421,1.0,1.0,1.0,51862.5,1.0,-0.00575125808771,1037.25,grain,1.0,-1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
SB,@SBK7,20.74,0.453643487,0.0236920039487,1.0,1.0,-1.0,1.0,1.0,10.0,2017-02-06,508.08070544,1.0,1.0,1.0,23228.8,1.0,0.0236920039487,20.74,soft,1.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,20170221,1487728205
SF,@SFH7,0.9925,0.007245,-0.00531168570856,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2017-02-14,905.625,1.0,1.0,1.0,124062.5,1.0,-0.00531168570856,0.9925,currency,1.0,1.0,1.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
SI,QSIK7,1807.4,30.163670272,-0.0016019444291,-1.0,1.0,-1.0,1.0,-1.0,38.0,2016-12-23,1508.1835136,1.0,1.0,1.0,90370.0,1.0,-0.0016019444291,1807.4,metal,-1.0,1.0,-1.0,38.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,-1,-1,1,1,-1.0,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,20170221,1487728205
SIN,INH7,8939.5,79.4228368215,0.00388688598453,1.0,-1.0,-1.0,1.0,1.0,-40.0,2016-12-26,158.845673643,6.0,2.0,2.0,17879.0,1.0,0.00388688598453,8939.5,index,1.0,1.0,1.0,-40.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
SJB,BBH7,149.97,0.182,0.0,1.0,1.0,1.0,-1.0,1.0,-13.0,2017-02-02,160.098522167,6.0,2.0,2.0,131922.94159,113.68,0.0,149.97,rates,-1.0,1.0,1.0,-13.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,1,-1,1,-1,-1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1,-1,0.0,-1,20170221,1487728205
SM,@SMK7,341.9,5.607648601,-0.00581564408258,-1.0,-1.0,1.0,-1.0,1.0,9.0,2017-02-07,560.7648601,1.0,1.0,1.0,34190.0,1.0,-0.00581564408258,341.9,grain,1.0,-1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
SMI,SWH7,8506.0,73.85,0.0075811419095,1.0,1.0,1.0,1.0,-1.0,20.0,2017-01-24,731.332937215,1.0,1.0,1.0,84234.5018816,1.0098,0.0075811419095,8506.0,index,1.0,1.0,-1.0,20.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
SSG,SSG7,341.85,3.015,-0.00204349729966,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2017-02-15,424.438657,2.0,1.0,1.0,48124.1641444,1.4207,-0.00204349729966,341.85,index,1.0,-1.0,-1.0,-4.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
STW,TWH7,361.8,3.245,0.000276472214543,1.0,-1.0,-1.0,1.0,-1.0,13.0,2017-02-02,324.5,3.0,1.0,1.0,36180.0,1.0,0.000276472214543,361.8,index,1.0,1.0,-1.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0,-1,-1,-1,1,1,1,1.0,-1,-1,1,-1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,0.0,1,-1,-1.0,0,20170221,1487728205
SXE,EXH7,3337.0,34.7,0.00694025347013,1.0,-1.0,-1.0,-1.0,-1.0,-32.0,2017-01-06,365.5992,2.0,1.0,1.0,35158.632,0.949126803341,0.00694025347013,3337.0,index,1.0,1.0,-1.0,-32.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,-1,1.0,0.0,1.0,-1.0,1.0,1.0,1,0,1.0,1,20170221,1487728205
TF,@TFSH7,1407.2,16.785,0.00686891814539,1.0,1.0,-1.0,1.0,1.0,13.0,2017-02-02,1678.5,1.0,1.0,1.0,140720.0,1.0,0.00686891814539,1407.2,index,1.0,1.0,1.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,20170221,1487728205
TU,@TUH7,108.4375,0.0796875,0.0,1.0,-1.0,1.0,-1.0,-1.0,8.0,2017-02-08,159.375,6.0,2.0,2.0,216875.0,1.0,0.0,108.4375,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,6.0,-1.0,1.0,6.0,1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,0,1,-1,1,1,-1,1,1.0,-1,-1,1,1,-1,1,1,-1,-1.0,0.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,20170221,1487728205
TY,@TYH7,124.703125,0.5015625,0.0,1.0,1.0,-1.0,1.0,-1.0,8.0,2017-02-08,501.5625,1.0,1.0,1.0,124703.125,1.0,0.0,124.703125,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,20170221,1487728205
US,@USH7,151.3125,1.24375,0.000413223140496,1.0,1.0,1.0,1.0,-1.0,8.0,2017-02-08,1243.75,1.0,1.0,1.0,151312.5,1.0,0.000413223140496,151.3125,rates,-1.0,1.0,-1.0,8.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,20170221,1487728205
VX,@VXH7,13.175,0.6017609145,0.00380952380952,1.0,1.0,-1.0,1.0,1.0,10.0,2017-02-06,601.7609145,1.0,1.0,1.0,13175.0,1.0,0.00380952380952,13.175,index,-1.0,-1.0,1.0,10.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,1,1,-1,-1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
W,@WK7,449.75,9.200069521,-0.0126234906696,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2017-02-09,460.00347605,2.0,1.0,1.0,22487.5,1.0,-0.0126234906696,449.75,grain,1.0,1.0,-1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,-1,1,1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,20170221,1487728205
YA,APH7,5739.0,46.95,-0.00226008344924,-1.0,-1.0,-1.0,-1.0,1.0,15.0,2017-01-31,901.20525,1.0,1.0,1.0,110160.105,1.30242250586,-0.00226008344924,5739.0,index,1.0,-1.0,1.0,15.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,20170221,1487728205
YB,HBSM7,98.23,0.021,0.0,1.0,-1.0,-1.0,-1.0,1.0,-19.0,2017-01-25,38.69712,25.0,7.0,7.0,181010.3856,1.30242250586,0.0,98.23,rates,-1.0,1.0,1.0,-19.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,-1,1,1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0,20170221,1487728205
YM,@YMH7,20688.0,130.7,0.00485719836798,1.0,1.0,-1.0,1.0,-1.0,-2.0,2017-01-31,653.5,1.0,1.0,1.0,103440.0,1.0,0.00485719836798,20688.0,index,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,-1,-1,-1,1,1,1.0,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,20170221,1487728205
YT2,HTSH7,97.95,0.053,-0.000102082482646,-1.0,-1.0,-1.0,-1.0,1.0,8.0,2017-02-09,113.94152,8.0,3.0,3.0,210576.828,1.30242250586,-0.000102082482646,97.95,rates,-1.0,1.0,1.0,8.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,20170221,1487728205
YT3,HXSH7,97.17,0.06225,-0.000102901831653,-1.0,-1.0,-1.0,-1.0,1.0,8.0,2017-02-09,382.3644,2.0,1.0,1.0,596857.008,1.30242250586,-0.000102901831653,97.17,rates,-1.0,1.0,1.0,8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,20170221,1487728205
