Desc,filename,ibexch,ibsym,c2sym,ibtype,ibcur,multiplier,IB2CSI_mult,CSIsym2,CSIsym,triggertime,margin,IB2CSI,Timezone,Months,MultDesc,Rate,Group,Subscribed
Australian Dollar-CME(Floor+Electronic Combined),AD_B.CSV,GLOBEX,AUD,@AD,FUT,USD,100000,0,AD,AD,30,1500,1,CST,HMUZ,100K AUD,USDUSD,currency,TRUE
Soybean Oil-CBT (Floor+Electronic Combined),BO2_B.CSV,ECBOT,ZL,@BO,FUT,USD,60000,0,BO2,BO,15,825,1,CST,FHKNQUVZ,60K LBS,USDUSD,grain,TRUE
British Pound-CME(Floor+Electronic Combined),BP_B.CSV,GLOBEX,GBP,@BP,FUT,USD,62500,0,BP,BP,30,2750,1,CST,HMUZ,62.5K GBP,USDUSD,currency,TRUE
Corn-CBT (Floor+Electronic Combined),C2_B.CSV,ECBOT,ZC,@C,FUT,USD,5000,0,C2,C,15,900,1,CST,HKNUZ,5K BUSHELS,USDUSD,grain,TRUE
Canadian Dollar-CME(Floor+Electronic Combined),CD_B.CSV,GLOBEX,CAD,@CD,FUT,USD,100000,0,CD,CD,30,1200,1,CST,HMUZ,100K CAD,USDUSD,currency,TRUE
Crude Oil-Light-NYMEX(Floor+Electronic Combined),CL2_B.CSV,NYMEX,CL,QCL,FUT,USD,1000,0,CL2,CL,30,2900,1,EST5EDT,FGHJKMNQUVXZ,1K BARRELS,USDUSD,energy,TRUE
Euro(Floor+Electronic Combined)-CME,CU_B.CSV,GLOBEX,EUR,@EU,FUT,USD,125000,0,CU,CU,30,2750,1,CST,HMUZ,125K EUR,USDUSD,currency,TRUE
Index-S&P Midcap 400 E-mini-CME,EMD_B.CSV,GLOBEX,EMD,@EMD,FUT,USD,100,0,EMD,EMD,30,7200,1,CST,HMUZ,$100 x INDEX,USDUSD,index,TRUE
S&P 500 Index-E-mini-CME,ES_B.CSV,GLOBEX,ES,@ES,FUT,USD,50,0,ES,ES,30,4750,1,CST,HMUZ,$50 x INDEX,USDUSD,index,TRUE
Cattle-Feeder-CME(Floor+Electronic Combined),FC_B.CSV,GLOBEX,GF,@GF,FUT,USD,50000,0,FC,FC,10,3000,1,CST,FHJKQUVX,50K LBS,USDUSD,meat,TRUE
T-Note-U.S. 5 Yr-CBT(Floor+Electronic Combined),FV_B.CSV,ECBOT,ZF,@FV,FUT,USD,1000,0,FV,FV,30,850,1,CST,HMUZ,$1000 x PRICE,USDUSD,debt,TRUE
Gold-COMEX(Floor+Electronic Combined),GC2_B.CSV,NYMEX,GC,QGC,FUT,USD,100,0,GC2,GC,30,5400,1,EST5EDT,GJMQVZ,100 OZ TROY,USDUSD,metal,TRUE
CopperHG-COMEX(Floor+Electronic Combined),HG2_B.CSV,NYMEX,HG,QHG,FUT,USD,25000,100,HG2,HG,30,3100,100,EST5EDT,HKNUVZ,25K LBS,USDUSD,metal,TRUE
Heating Oil #2-NYMEX(Floor+Electronic Combined),HO2_B.CSV,NYMEX,HO,QHO,FUT,USD,42000,0,HO2,HO,30,4150,1,EST5EDT,FGHJKMNQUVXZ,42K GALLONS,USDUSD,energy,TRUE
Japanese Yen-CME(Floor+Electronic Combined),JY_B.CSV,GLOBEX,JPY,@JY,FUT,USD,12500000,100,JY,JY,30,4000,100,CST,HMUZ,12.5M JPY,USDUSD,currency,TRUE
Cattle-Live(Floor+Electronic Combined)-CME,LC_B.CSV,GLOBEX,LE,@LE,FUT,USD,40000,0,LC,LC,10,1550,1,CST,FGHJMQVZ,40K LBS,USDUSD,meat,TRUE
Hogs-Lean(Floor+Electronic Combined)-CME,LH_B.CSV,GLOBEX,HE,@HE,FUT,USD,40000,0,LH,LH,10,1200,1,CST,GJKMNQVZ,40K LBS,USDUSD,meat,TRUE
Mexican Peso(Floor+Electronic Combined)-CME,MP_B.CSV,GLOBEX,MXP,@PX,FUT,USD,500000,0,MP,MP,30,1750,1,CST,FHMUZ,500K MXP,USDUSD,currency,TRUE
New Zealand Dollar-CME(Floor+Electronic Combined),NE_B.CSV,GLOBEX,NZD,@NE,FUT,USD,100000,0,NE,NE,30,1400,1,CST,HMUZ,100K NZD,USDUSD,currency,TRUE
Natural Gas-Henry Hub-NYMEX(Floor+Electronic Combined),NG2_B.CSV,NYMEX,NG,QNG,FUT,USD,10000,0,NG2,NG,30,3100,1,EST5EDT,FGHJKMNQUVXZ,10K mmBtu,USDUSD,energy,TRUE
Nikkei 225 Index-Yen(Floor+Electronic Combined)-CME,NIY_B.CSV,GLOBEX,NIY,@NKD,FUT,JPY,500,0,NIY,NIY,30,4400,1,CST,HMUZ,500 JPY x INDEX,USDJPY,index,TRUE
Nasdaq 100 Index-E-mini,NQ_B.CSV,GLOBEX,NQ,@NQ,FUT,USD,20,0,NQ,NQ,30,3900,1,CST,HMUZ,$20 x INDEX,USDUSD,index,TRUE
Palladium-NYMEX(Floor+Electronic Combined),PA2_B.CSV,NYMEX,PA,QPA,FUT,USD,100,0,PA2,PA,30,4000,1,EST5EDT,HMUZ,100 OZ TROY,USDUSD,metal,TRUE
Platinum-NYMEX(Floor+Electronic Combined),PL2_B.CSV,NYMEX,PL,QPL,FUT,USD,50,0,PL2,PL,30,2400,1,EST5EDT,FJNV,50 OZ TROY,USDUSD,metal,TRUE
Gasoline-Reformulated Blendstock(Combined)-NYMEX,RB2_B.CSV,NYMEX,RB,QRB,FUT,USD,42000,0,RB2,RB,30,4650,1,EST5EDT,FGHJKMNQUVXZ,42K GALLONS,USDUSD,energy,TRUE
Soybeans (Floor+Electronic Combined)-CBT,S2_B.CSV,ECBOT,ZS,@S,FUT,USD,5000,0,S2,S,15,2100,1,CST,FHKNQUX,5K BUSHELS,USDUSD,grain,TRUE
Swiss Franc-CME-(Floor+Electronic Combined),SF_B.CSV,GLOBEX,CHF,@SF,FUT,USD,125000,0,SF,SF,30,3300,1,CST,HMUZ,125K CHF,USDUSD,currency,TRUE
Silver-COMEX(Floor+Electronic Combined),SI2_B.CSV,NYMEX,SI,QSI,FUT,USD,5000,100,SI2,SI,30,6500,100,EST5EDT,HKNUZ,5000 OZ TROY,USDUSD,metal,TRUE
Soybean Meal-CBT (Floor+Electronic Combined),SM2_B.CSV,ECBOT,ZM,@SM,FUT,USD,100,0,SM2,SM,15,1800,1,CST,FHKNQUVZ,100 TONS,USDUSD,grain,TRUE
T-Note-U.S.  2 Yr (Floor+Electronic Combined)-CBT,TU_B.CSV,ECBOT,ZT,@TU,FUT,USD,2000,0,TU,TU,30,550,1,CST,HMUZ,2000 x PRICE,USDUSD,debt,TRUE
T-Note-U.S. 10 Yr w/Prj A-CBT(Floor+Electronic Combined),TY3_B.CSV,ECBOT,ZN,@TY,FUT,USD,1000,0,TY3,TY,30,1450,1,CST,HMUZ,1000 x PRICE,USDUSD,debt,TRUE
T-Bond-U.S.-CBT(Floor+Electronic Combined),US_B.CSV,ECBOT,ZB,@US,FUT,USD,1000,0,US,US,30,4400,1,CST,HMUZ,1000 x PRICE,USDUSD,debt,TRUE
Wheat-CBT (Floor+Electronic Combined),W2_B.CSV,ECBOT,ZW,@W,FUT,USD,5000,0,W2,W,15,1000,1,CST,HKNUZ,5K BUSHELS,USDUSD,grain,TRUE
DJIA Mini $5 Index-CBT,YM_B.CSV,ECBOT,YM,@YM,FUT,USD,5,0,YM,YM,30,4000,1,CST,HMUZ,$5 x INDEX,USDUSD,index,TRUE
